zone,damping_percent,method,T_s,Sa_g,source_standard,source_section,source_table,source_page_pdf,source_standard_page
3,5.0,Equivalent Static,3.0,0.085,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,4.0,0.052,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,5.0,0.035,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,6.0,0.026,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,0.01,0.287,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,0.2,0.287,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,0.5,0.287,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,1.0,0.207,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,2.0,0.163,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,3.0,0.078,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,4.0,0.032,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,5.0,0.023,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
4,5.0,Equivalent Static,6.0,0.02,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,0.01,0.191,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,0.2,0.191,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,0.5,0.191,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,1.0,0.199,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,2.0,0.168,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,3.0,0.094,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,4.0,0.053,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,5.0,0.037,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
5,5.0,Equivalent Static,6.0,0.028,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,0.01,0.272,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,0.2,0.272,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,0.5,0.272,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,1.0,0.154,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,2.0,0.15,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,3.0,0.077,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,4.0,0.042,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,5.0,0.031,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
6,5.0,Equivalent Static,6.0,0.026,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,0.01,0.246,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,0.2,0.246,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,0.5,0.246,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,1.0,0.181,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,2.0,0.132,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,3.0,0.084,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,4.0,0.051,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,5.0,0.036,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
7,5.0,Equivalent Static,6.0,0.03,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,0.01,0.162,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,0.2,0.162,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,0.5,0.162,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,1.0,0.075,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,2.0,0.041,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,3.0,0.025,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,4.0,0.015,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,5.0,0.01,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
8,5.0,Equivalent Static,6.0,0.008,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,0.01,0.214,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,0.2,0.214,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,0.5,0.214,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,1.0,0.156,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,2.0,0.107,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,3.0,0.048,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,4.0,0.022,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,5.0,0.014,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
9,5.0,Equivalent Static,6.0,0.011,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,0.01,0.179,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,0.2,0.179,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,0.5,0.179,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,1.0,0.049,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,2.0,0.035,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,3.0,0.023,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,4.0,0.014,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,5.0,0.01,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
10,5.0,Equivalent Static,6.0,0.008,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
