zone,damping_percent,method,T_s,Sa_g,source_standard,source_section,source_table,source_page_pdf,source_standard_page
1,5.0,Equivalent Static,0.01,0.36,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,0.2,0.36,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,0.5,0.36,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,1.0,0.181,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,2.0,0.085,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,3.0,0.041,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,4.0,0.034,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,5.0,0.024,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
1,5.0,Equivalent Static,6.0,0.022,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,0.01,0.352,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,0.2,0.352,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,0.5,0.352,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,1.0,0.193,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,2.0,0.151,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,3.0,0.084,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,4.0,0.047,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,5.0,0.03,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
2,5.0,Equivalent Static,6.0,0.024,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,0.01,0.262,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,0.2,0.262,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,0.5,0.262,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,1.0,0.265,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
3,5.0,Equivalent Static,2.0,0.166,"DPT 1301/1302-61 (Rev.1, 2564)",1.4.5.2,Table 1.4-5,46,32
